fdc_id,description,protein,calories,sugar,sodium,portion_description,gram_weight
2706036,"Chicken thigh, rotisserie, skin not eaten",24.09,193,0,335,"1 oz, cooked",28.35
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,"1 oz, cooked",28.35
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,1 medium thigh,90
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,1 small thigh,80
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,"1 cup, cooked, diced",135
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,Quantity not specified,90
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,"1 thigh, NS as to size",90
2706037,"Chicken thigh, stewed, skin eaten",22.39,227,0,383,1 large thigh,110
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,1 small thigh,70
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,1 medium thigh,80
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,Quantity not specified,80
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,"1 cup, cooked, diced",135
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,"1 oz, cooked",28.35
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,"1 thigh, NS as to size",80
2706038,"Chicken thigh, stewed, skin not eaten",24.36,175,0,384,1 large thigh,100
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,"1 cup, cooked, diced",135
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,"1 oz, cooked",28.35
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,"1 thigh, NS as to size",80
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,Quantity not specified,80
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,1 small thigh,75
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,1 medium thigh,80
2706039,"Chicken thigh, grilled without sauce, skin eaten",22.61,243,0,406,1 large thigh,105
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,"1 oz, cooked",28.35
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,"1 thigh, NS as to size",70
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,1 small thigh,65
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,1 large thigh,90
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,"1 cup, cooked, diced",135
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,1 medium thigh,70
2706040,"Chicken thigh, grilled without sauce, skin not eaten",24.07,192,0,410,Quantity not specified,70
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,"1 thigh, NS as to size",110
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,Quantity not specified,110
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,"1 cup, cooked, diced",165
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,1 medium thigh,110
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,1 large thigh,140
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,"1 oz, cooked",28.35
2706041,"Chicken thigh, grilled with sauce, skin eaten",18.61,233,5.94,571,1 small thigh,100
